Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1961","1961","hg/ha","17672","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1962","1962","hg/ha","18936","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1963","1963","hg/ha","16481","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1964","1964","hg/ha","18010","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1965","1965","hg/ha","16785","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1966","1966","hg/ha","21499","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1967","1967","hg/ha","24663","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1968","1968","hg/ha","19421","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1969","1969","hg/ha","19291","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1970","1970","hg/ha","23299","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1971","1971","hg/ha","24422","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1972","1972","hg/ha","18620","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1973","1973","hg/ha","27206","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1974","1974","hg/ha","28399","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1975","1975","hg/ha","25081","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1976","1976","hg/ha","21169","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1977","1977","hg/ha","32780","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1978","1978","hg/ha","36466","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1979","1979","hg/ha","31071","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1980","1980","hg/ha","25703","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1981","1981","hg/ha","38008","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1982","1982","hg/ha","30284","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","56","Maize","1983","1983","hg/ha","30303","Fc","Calculated data"
